iter	Logloss
0	0.6883353483
1	0.6837376871
2	0.679345467
3	0.6752783906
4	0.6715166958
5	0.6664549826
6	0.6629131952
7	0.6583139616
8	0.6551109404
9	0.6520318619
10	0.6479262027
11	0.6448332101
12	0.6409421288
13	0.6373770493
14	0.6346388398
15	0.6321578992
16	0.6288322147
17	0.6264287825
18	0.6241848064
19	0.621230536
20	0.6190040755
21	0.6169653455
22	0.6142353632
23	0.6123447535
24	0.6105164394
25	0.6087097002
26	0.6062125052
27	0.604511113
28	0.6011885316
29	0.5989450955
30	0.5973048079
31	0.595382893
32	0.5932370811
33	0.5906832377
34	0.5892457918
35	0.5873470813
36	0.5849104181
37	0.583511695
38	0.5817632426
39	0.5791320746
40	0.5778812002
41	0.576541279
42	0.574529181
43	0.5720625285
44	0.5708307731
45	0.568861181
46	0.5670774078
47	0.5650526741
48	0.5630680809
49	0.5618435684
50	0.5604075145
51	0.5590753261
52	0.5574733111
53	0.5564530315
54	0.5544950559
55	0.5527870927
56	0.5518371962
57	0.5505733014
58	0.5489384502
59	0.5478420373
60	0.5467109728
61	0.544945853
62	0.5435480493
63	0.5425722929
64	0.54107107
65	0.5399312612
66	0.538294006
67	0.5374360973
68	0.5364011864
69	0.5344215132
70	0.5331731352
71	0.5320344193
72	0.5311571717
73	0.5302349132
74	0.5293128531
75	0.5283514594
76	0.5268655347
77	0.5257318967
78	0.5243928844
79	0.5236501211
80	0.5227617566
81	0.521871185
82	0.5207189595
83	0.5199590312
84	0.5192203865
85	0.5180790865
86	0.5172177385
87	0.5161033767
88	0.5153137456
89	0.514371481
90	0.5131853725
91	0.5119871768
92	0.5110722216
93	0.5103960076
94	0.5095880756
95	0.5089532903
96	0.5080304107
97	0.5070240437
98	0.5063055495
99	0.5053497418
