iter	Passed	Remaining
0	75	7440
1	98	4833
2	123	4000
3	158	3815
4	198	3768
5	222	3491
6	249	3314
7	274	3159
8	303	3069
9	327	2946
10	350	2834
11	374	2747
12	397	2657
13	419	2576
14	447	2534
15	477	2504
16	502	2451
17	536	2444
18	562	2398
19	588	2354
20	653	2458
21	712	2525
22	739	2475
23	762	2416
24	785	2357
25	811	2310
26	834	2255
27	871	2240
28	912	2235
29	952	2221
30	991	2207
31	1030	2190
32	1076	2184
33	1117	2168
34	1160	2155
35	1203	2139
36	1241	2114
37	1279	2087
38	1323	2069
39	1368	2052
40	1415	2037
41	1456	2010
42	1495	1982
43	1552	1975
44	1598	1954
45	1646	1932
46	1683	1898
47	1729	1873
48	1781	1854
49	1822	1822
50	1857	1785
51	1903	1757
52	1946	1726
53	1995	1699
54	2031	1662
55	2092	1644
56	2153	1624
57	2188	1584
58	2246	1560
59	2282	1521
60	2316	1481
61	2354	1443
62	2394	1406
63	2427	1365
64	2470	1330
65	2510	1293
66	2559	1260
67	2594	1220
68	2633	1183
69	2679	1148
70	2727	1113
71	2768	1076
72	2814	1040
73	2861	1005
74	2902	967
75	2940	928
76	2979	890
77	3026	853
78	3074	817
79	3118	779
80	3155	740
81	3194	701
82	3256	667
83	3297	628
84	3337	588
85	3382	550
86	3436	513
87	3521	480
88	3567	440
89	3603	400
90	3647	360
91	3693	321
92	3744	281
93	3802	242
94	3852	202
95	3889	162
96	3938	121
97	4049	82
98	4100	41
99	4149	0
